 Superbowl (#),CO2,Energy,Waste,Water
"(2025) — Caesars Superdome, New Orleans, Louisiana","2,550,000","12,000",4%,680416.68
"(2024) — Allegiant Stadium, Paradise (Las Vegas), Nevada",0,"11,800",7%,704000
"(2023) — State Farm Stadium, Glendale, Arizona","2,035,000","11,500",7.4%,643800
"(2022) — SoFi Stadium, Inglewood, California","2,100,000","11,000",10%,680416.68
"(2021) — Raymond James Stadium, Tampa, Florida","2,000,000","11,000",12%,661230
"(2020) — Hard Rock Stadium, Miami Gardens, Florida","1,965,000","11,200",15%,657282
"(2019) — Mercedes-Benz Stadium, Atlanta, Georgia","1,892,000","10,800",18%,697000
"(2018) — U.S. Bank Stadium, Minneapolis, Minnesota",0,"10,500",20%,666585
"(2017) — NRG Stadium, Houston, Texas","1,938,000","10,400",22%,705540
"(2016) — Levi’s Stadium, Santa Clara, California","1,720,000","10,200",25%,679500
"(2015) — University of Phoenix Stadium (now State Farm Stadium), Glendale, Arizona","1,788,000","10,000",28%,643800
"(2014) — MetLife Stadium, East Rutherford, New Jersey","1,515,000","9,800",31%,777500
"(2013) — Mercedes-Benz Superdome (then Louisiana Superdome), New Orleans, Louisiana","1,041,000","9,500",34%,712456
"(2012) — Lucas Oil Stadium, Indianapolis, Indiana","985,000","9,200",38%,669000
"(2011) — Cowboys Stadium (now AT&T Stadium), Arlington, Texas","880,000","9,000",42%,760000
"(2010) — Sun Life Stadium (now Hard Rock Stadium), Miami Gardens, Florida","843,000","8,800",46%,657282
"(2009) — Raymond James Stadium, Tampa, Florida","712,000","8,500",50%,661230
"(2008) — University of Phoenix Stadium (now State Farm Stadium), Glendale, Arizona","758,000","8,200",55%,643800
"(2007) — Dolphin Stadium (now Hard Rock Stadium), Miami Gardens, Florida","630,000","8,000",60%,657282
"(2006) — Ford Field, Detroit, Michigan","689,000","7,800",65%,655000
"(2005) — Alltel Stadium (now EverBank Stadium), Jacksonville, Florida","544,000","7,500",70%,683924
"(2004) — Reliant Stadium (now NRG Stadium), Houston, Texas","534,000","7,200",75%,705540
"(2003) — Qualcomm Stadium, San Diego, California","517,000","7,000",80%,680416.68
"(2002) — Louisiana Superdome (now Caesars Superdome), New Orleans, Louisiana","503,000","6,800",85%,712456
"(2001) — Raymond James Stadium, Tampa, Florida","490,000","6,500",90%,661230
"(2000) — Georgia Dome, Atlanta, Georgia","508,000","6,200",95%,680416.68
M&T Bank Stadium,"2,150,000","10,800",31%,695215
Huntington Bank Field,"2,050,000","10,400",12%,662265
Soldier Field,"2,031,000","11,200",30%,637500
